"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.900733000E-3,-1.190099955E0,-3.100000024E-1,-2.064399958E0,2.402953410E0
1.690073300E-2,-1.190099955E0,-3.100000024E-1,-2.064399958E0,2.402953410E0
2.690073300E-2,-1.190099955E0,-3.100000024E-1,-2.064399958E0,2.402953410E0
3.690385800E-2,-1.221999973E-1,1.781999916E-1,2.060000002E-1,2.985365580E-1
4.690073300E-2,5.450999737E-1,-1.987999976E-1,5.428000093E-1,7.945358836E-1
5.690073300E-2,1.085899949E0,-9.678999782E-1,1.095399976E0,1.820964078E0
6.690073300E-2,1.753099918E0,-2.189800024E0,1.923999906E0,3.401523057E0
7.690385800E-2,1.980899930E0,-3.190500021E0,2.471899986E0,4.495947560E0
8.690073300E-2,2.072000027E0,-3.590399981E0,2.992199898E0,5.112476539E0
9.690073300E-2,2.423399925E0,-3.694799900E0,3.705799818E0,5.766919957E0
1.069007330E-1,2.553999901E0,-3.720399857E0,4.566299915E0,6.419920989E0
1.169007330E-1,2.242399931E0,-3.380100012E0,4.572000027E0,6.112006036E0
1.269007330E-1,1.757499933E0,-2.829900026E0,3.733500004E0,5.003614939E0
1.369007330E-1,1.345999956E0,-2.373199940E0,3.051999807E0,4.093714287E0
1.469007330E-1,6.234999895E-1,-2.112599850E0,2.434099913E0,3.282784298E0
1.569007330E-1,2.343999892E-1,-1.922499895E0,1.745899916E0,2.607511403E0
1.669085450E-1,2.475999892E-1,-1.498199940E0,1.000200033E0,1.818325857E0
1.769007330E-1,9.168999791E-1,-1.825599909E0,-1.322999895E-1,2.047199034E0
1.869007330E-1,1.695799947E0,-2.213000059E0,-5.698999763E-1,2.845679656E0
1.969007330E-1,2.625699997E0,-2.548099995E0,-1.911000013E-1,3.663827680E0
2.069007330E-1,2.805500031E0,-2.733500004E0,-5.529999733E-2,3.917385708E0
2.169038580E-1,2.135999918E0,-2.517599821E0,3.055999875E-1,3.315749668E0
2.269007330E-1,2.148599863E0,-1.650499940E0,9.183999896E-1,2.860784851E0
2.369007330E-1,1.503499985E0,-7.839999795E-1,1.443599939E0,2.226914672E0
2.469007330E-1,1.016199946E0,-4.589999914E-1,1.774399996E0,2.095671412E0
2.569022950E-1,-5.654999614E-1,-4.327999949E-1,1.924600005E0,2.052118715E0
2.669007330E-1,-8.414999843E-1,-8.049999923E-2,1.676399946E0,1.877476832E0
2.769007330E-1,1.321000010E-1,6.139000058E-1,1.136299968E0,1.298268556E0
2.869007330E-1,1.026099920E0,1.037500024E0,5.630999804E-1,1.564087253E0
2.969007330E-1,1.278299928E0,8.514999747E-1,-1.726000011E-1,1.545604630E0
3.069007330E-1,9.232999682E-1,4.060999751E-1,-6.018999815E-1,1.174599340E0
3.169007330E-1,7.213999629E-1,4.490000010E-2,-8.808999658E-1,1.139481753E0
3.269007330E-1,5.749999881E-1,-2.807999849E-1,-7.832999825E-1,1.011450681E0
3.369007330E-1,3.624999821E-1,-5.081999898E-1,-4.763000011E-1,7.851975279E-1
3.469101080E-1,4.409999773E-2,-7.917000055E-1,-3.622999787E-1,8.717769113E-1
3.569007330E-1,9.719999880E-2,-1.327700019E0,-5.162999630E-1,1.427865831E0
3.669007330E-1,4.400999844E-1,-1.579499960E0,-6.850000024E-1,1.777001160E0
3.769007330E-1,1.114799976E0,-1.956699967E0,-9.437999725E-1,2.441764145E0
3.869007330E-1,2.229500055E0,-2.609299898E0,-9.237999916E-1,3.554226059E0
3.969007330E-1,3.884999990E0,-3.676899910E0,-1.596999913E-1,5.351478484E0
4.069007330E-1,4.306099892E0,-3.769799948E0,-8.766999841E-1,5.789861033E0
4.169007330E-1,4.677099705E0,-4.089600086E0,-1.098099947E0,6.309192817E0
4.269007330E-1,4.953000069E0,-4.333199978E0,-1.204800010E0,6.690319484E0
4.369038580E-1,5.141900063E0,-3.826999903E0,-5.460000038E-1,6.432976023E0
4.469007330E-1,3.768299818E0,-2.621700048E0,-3.211999834E-1,4.601800093E0
4.569007330E-1,2.273299932E0,-1.490700006E0,-4.257999957E-1,2.751614931E0
4.669007330E-1,1.282599926E0,-7.943999767E-1,-1.309999973E-1,1.514362867E0
4.769069830E-1,1.398399949E0,-7.051999569E-1,6.403999925E-1,1.692022916E0
4.869007330E-1,2.006999969E0,-6.340000033E-1,8.657999635E-1,2.275876635E0
4.969007330E-1,1.206699967E0,-2.347999960E-1,8.073999882E-1,1.470765308E0
5.069007330E-1,1.791899920E0,-2.280000001E-1,4.064999819E-1,1.851521417E0
5.169007330E-1,2.449399948E0,-2.139999904E-2,4.650999904E-1,2.493258123E0
5.269007330E-1,1.355399966E0,4.377000034E-1,5.605999827E-1,1.530673937E0
5.369007330E-1,1.147899985E0,4.615999758E-1,4.379999936E-1,1.312475870E0
5.469007330E-1,9.678999782E-1,8.873999715E-1,6.383000016E-1,1.460046564E0
5.569007330E-1,6.647999883E-1,1.118099928E0,9.480999708E-1,1.609658357E0
5.669007330E-1,4.748999774E-1,9.064999819E-1,1.123399973E0,1.519638018E0
5.769007330E-1,7.508999705E-1,3.612999916E-1,1.272400022E0,1.520983322E0
5.869007330E-1,1.208699942E0,-1.620000005E-1,1.325799942E0,1.801373097E0
5.969007330E-1,1.564899921E0,-5.640999675E-1,1.008199930E0,1.945144631E0
6.069007330E-1,1.707299948E0,-6.757000089E-1,3.091000021E-1,1.861984539E0
6.169007330E-1,1.616799951E0,-6.096000075E-1,-5.073999763E-1,1.800863400E0
6.269007330E-1,1.416099906E0,-2.416999936E-1,-7.463999987E-1,1.618910371E0
6.369007330E-1,1.463999987E0,1.986999959E-1,1.513499975E0,2.115055513E0
6.469007330E-1,1.848499894E0,4.151999950E-1,-1.147400022E0,2.214919796E0
6.569007330E-1,1.663599968E0,5.792999864E-1,-1.375100017E0,2.234737878E0
6.669007330E-1,1.627499938E0,6.786999702E-1,-8.473999500E-1,1.956393716E0
6.769007330E-1,9.820999503E-1,7.063999772E-1,-1.699599981E0,2.086183438E0
6.869007330E-1,8.079999685E-2,4.998999834E-1,-1.672299981E0,1.747288144E0
6.969007330E-1,-2.294999957E-1,3.576999903E-1,-1.293999910E0,1.362004148E0
7.069007330E-1,5.849999934E-2,1.616999954E-1,-2.506999969E-1,3.040059652E-1
7.169007330E-1,6.272999644E-1,2.797999978E-1,1.877299905E0,1.999011810E0
7.269007330E-1,1.783399940E0,2.029999942E-1,3.779699802E0,4.184238872E0
7.369007330E-1,2.164999962E0,9.440000057E-1,4.437399864E0,5.026815931E0
7.469007330E-1,1.562999964E0,1.529799938E0,2.975399971E0,3.692730931E0
7.569007330E-1,1.397799969E0,8.998999596E-1,-1.422999948E-1,1.668506511E0
7.669007330E-1,1.577700019E0,2.125999928E-1,-1.520299911E0,2.201283246E0
7.769007330E-1,1.835899949E0,-3.330999911E-1,-4.109999835E-1,1.910603364E0
7.869007330E-1,1.898799896E0,-5.361999869E-1,2.205100060E0,2.958955516E0
7.969007330E-1,1.297999978E0,-6.762999892E-1,3.203599930E0,3.522107058E0
8.069007330E-1,-7.999999798E-4,-9.800999761E-1,2.526399851E0,2.709851068E0
8.169007330E-1,-9.538999796E-1,-1.231999993E0,1.556299925E0,2.202230372E0
8.269007330E-1,-3.283999860E-1,-1.064700007E0,1.467899919E0,1.842868098E0
8.369007330E-1,1.308599949E0,5.192999840E-1,3.204999864E-1,1.443892843E0
8.469007330E-1,2.377899885E0,8.404999971E-1,-1.593899965E0,2.983515579E0
8.568991700E-1,2.556299925E0,9.254999757E-1,-1.230499983E0,2.984183258E0
8.669007330E-1,2.003099918E0,5.557999611E-1,-3.027999997E-1,2.100716716E0
8.769007330E-1,2.047399998E0,-1.118999943E-1,-4.759999812E-1,2.104980841E0
8.869007330E-1,1.367999911E0,-7.799999714E-1,-2.202899933E0,2.707875888E0
8.969007330E-1,2.332799911E0,3.384000063E-1,-2.228600025E0,3.243937124E0
9.069007330E-1,3.137300014E0,1.475199938E0,-1.744699955E0,3.881088014E0
9.169007330E-1,2.403399944E0,1.973199964E0,-2.868199825E0,4.230416011E0
9.269007330E-1,1.592299938E0,1.773000002E0,-2.674799919E0,3.582387850E0
9.369007330E-1,1.427899957E0,9.352999926E-1,-1.726399899E0,2.427785199E0
9.469007330E-1,9.779999852E-1,-1.382699966E0,-9.609999657E-1,1.947270937E0
9.569007330E-1,2.496999979E0,-2.477399826E0,-2.181499958E0,4.139016895E0
9.669007330E-1,3.286499977E0,-1.329599977E0,-9.662999511E-1,3.674595732E0
9.769007330E-1,1.885399938E0,-8.005999923E-1,1.301899910E0,2.427063379E0
9.869007330E-1,7.797999978E-1,-1.001199961E0,1.130100012E0,1.699298513E0
9.969007330E-1,1.411700010E0,-6.764000058E-1,6.111999750E-1,1.680469963E0
1.006900733E0,2.342099905E0,-3.292999864E-1,1.047999978E0,2.586923733E0
1.016900733E0,2.040999889E0,-5.547999740E-1,1.252099991E0,2.457892989E0
1.026900733E0,1.631399989E0,-8.125000000E-1,1.689700007E0,2.485298431E0
1.036900733E0,1.113199949E0,-1.194599986E0,1.621199965E0,2.300993825E0
1.046900733E0,6.265000105E-1,-1.043900013E0,1.634799957E0,2.038332750E0
1.056900733E0,6.715999842E-1,-9.241999984E-1,2.106400013E0,2.396270684E0
1.066900733E0,1.642799973E0,-1.393499970E0,1.641600013E0,2.708409962E0
1.076900733E0,2.878399849E0,-2.053200006E0,8.172000051E-1,3.628860951E0
1.086900733E0,2.354599953E0,-1.341799974E0,5.910999775E-1,2.773800154E0
1.096900733E0,1.823699951E0,-1.938999891E-1,1.140999943E-1,1.837524837E0
1.106900733E0,8.757999539E-1,8.639000058E-1,-1.035300016E0,1.607854130E0
1.116900733E0,9.429999441E-2,1.294600010E0,-1.261500001E0,1.810045283E0
1.126900733E0,-4.077999890E-1,1.349399924E0,-1.636199951E0,2.159706292E0
1.136900733E0,-7.260000110E-1,9.333999753E-1,-1.468500018E0,1.885418742E0
1.146900733E0,-3.800999820E-1,3.781999946E-1,-3.652999997E-1,6.488106981E-1
1.156900733E0,-7.619000077E-1,-1.176999956E-1,9.365999699E-1,1.213080547E0
1.166900733E0,-1.102900028E0,-7.629999518E-1,1.591499925E0,2.081208641E0
1.176900733E0,-9.434999824E-1,-9.692999721E-1,1.311200023E0,1.883873709E0
1.186900733E0,6.513999701E-1,-7.128999829E-1,4.648000002E-1,1.071721674E0
1.196900733E0,8.973999619E-1,-2.951000035E-1,6.514999866E-1,1.147546485E0
1.206900733E0,9.763999581E-1,5.418999791E-1,-4.081999958E-1,1.188965812E0
1.216900733E0,-1.002999991E-1,1.059599996E0,-1.061900020E0,1.503477267E0
1.226900733E0,-9.979999661E-1,1.211099982E0,-1.584199905E0,2.229900545E0
1.236900733E0,-8.582999706E-1,6.388999820E-1,-1.336199999E0,1.711812625E0
1.246900733E0,4.242999852E-1,-3.828999996E-1,1.749999970E-1,5.977189022E-1
1.256900733E0,1.649500012E0,-1.149099946E0,1.349699974E0,2.421357263E0
1.266900733E0,1.990700006E0,-1.365899920E0,2.051199913E0,3.167963098E0
1.276900733E0,1.676299930E0,-7.022999525E-1,2.168999910E0,2.829799867E0
1.286900733E0,5.593000054E-1,3.010999858E-1,9.239999652E-1,1.121273220E0
1.296900733E0,-4.217999876E-1,8.198999763E-1,7.242000103E-1,1.172440555E0
1.306900733E0,-9.574999809E-1,8.522999883E-1,3.102999926E-1,1.318903927E0
1.316900733E0,-9.600999951E-1,4.976999760E-1,-2.289999872E-1,1.105413163E0
1.326900733E0,-4.824000001E-1,9.250000119E-2,-6.384999752E-1,8.055732298E-1
1.336960108E0,-2.342999876E-1,1.500999928E-1,-1.088699937E0,1.123696598E0
1.346900733E0,-1.752699971E0,-4.779999703E-2,-1.199899912E0,2.124618043E0
1.356900733E0,-6.607999802E-1,-4.041999876E-1,2.151999921E-1,8.039560189E-1
1.366900733E0,-3.750999868E-1,-4.668999910E-1,9.268999696E-1,1.103557500E0
1.376900733E0,-3.398999870E-1,-8.927999735E-1,-9.099999815E-2,9.596378450E-1
1.386900733E0,-4.391999841E-1,-1.911099911E0,-1.027199984E0,2.213671001E0
1.396900733E0,-9.235999584E-1,-2.058599949E0,-1.602599978E0,2.767525487E0
1.406900733E0,-6.783999801E-1,-8.126999736E-1,-1.806699991E0,2.094008748E0
1.416900733E0,2.024399996E0,1.567000002E-1,-5.536999702E-1,2.104598273E0
1.426900733E0,3.094399929E0,1.143999934E0,-4.501999915E-1,3.329673678E0
1.436900733E0,2.064399958E0,1.723299980E0,-1.551299930E0,3.104519525E0
1.446902295E0,3.546999991E-1,-3.059999943E-1,-2.123899937E0,2.174948052E0
1.456900733E0,1.172899961E0,-7.195999622E-1,-6.567999721E-1,1.524763794E0
1.466900733E0,2.295399904E0,-6.984999776E-1,-1.332999945E0,2.744749860E0
1.476900733E0,3.011999846E0,-8.973000050E-1,-3.760900021E0,4.901189583E0
1.486902295E0,3.182799816E0,-1.611400008E0,-2.814800024E0,4.544218726E0
1.496900733E0,3.807999849E0,-2.843899965E0,-1.367599964E0,4.945600017E0
1.506903858E0,4.987999916E0,-3.640999794E0,-7.340999842E-1,6.218997142E0
1.516900733E0,6.010599613E0,-3.560699940E0,-9.429000020E-1,7.049464674E0
1.526903858E0,7.196699619E0,-3.121199846E0,-1.029500008E0,7.911652429E0
1.536900733E0,7.827299595E0,-2.238699913E0,-1.697399974E0,8.316222876E0
1.546900733E0,7.671299934E0,-1.462599993E0,-2.741699934E0,8.276772315E0
1.556900733E0,6.593599796E0,-9.832999706E-1,-3.476799965E0,7.518681740E0
1.566900733E0,4.885600090E0,-8.071999550E-1,-3.717899799E0,6.192207920E0
1.576900733E0,2.808099985E0,-6.383999586E-1,-3.461799860E0,4.503003254E0
1.586900733E0,9.884999990E-1,-3.082999885E-1,-2.845999956E0,3.028513972E0
1.596900733E0,-4.761999846E-1,-3.104999959E-1,-2.256899834E0,2.327396299E0
1.606900733E0,-1.594599962E0,-3.337999880E-1,-1.877200007E0,2.485568615E0
1.616900733E0,-2.112999916E0,-9.999999404E-2,-1.812199950E0,2.785468956E0
1.626900733E0,-1.708199978E0,3.709999919E-1,-2.058199883E0,2.700328668E0
1.636900733E0,-1.325999975E0,1.290899992E0,-2.052399874E0,2.763520213E0
1.646900733E0,-5.367000103E-1,1.863099933E0,-1.732499957E0,2.600143142E0
1.656900733E0,3.583999872E-1,1.381500006E0,-9.546999931E-1,1.717103635E0
1.666903858E0,4.553999901E-1,4.611999989E-1,-2.215999961E-1,6.849825897E-1
1.676900733E0,-5.072999597E-1,-2.529999912E-1,8.176999688E-1,9.949851675E-1
1.686900733E0,-1.159999967E0,-3.030999899E-1,1.321599960E0,1.784403537E0
1.696900733E0,-2.062599897E0,-2.149999887E-2,1.931800008E0,2.826062961E0
1.706908545E0,-2.829900026E0,9.239999950E-2,2.638099909E0,3.869940962E0
1.716900733E0,-3.032799959E0,-2.019999921E-1,3.333699942E0,4.511345131E0
1.726900733E0,-2.861699820E0,-7.048000097E-1,4.101299763E0,5.050418661E0
1.736900733E0,-2.577600002E0,-1.221300006E0,4.531899929E0,5.354784071E0
1.746900733E0,-2.642899990E0,-1.588599920E0,4.439899921E0,5.405671223E0
1.756900733E0,-3.252300024E0,-1.711399913E0,3.897399902E0,5.356871392E0
1.766900733E0,-4.061500072E0,-1.555599928E0,3.321799994E0,5.472661982E0
1.776900733E0,-4.529399872E0,-1.327299953E0,2.899099827E0,5.539130633E0
1.786900733E0,-4.259900093E0,-1.175199986E0,2.559299946E0,5.106648610E0
1.796900733E0,-3.539599895E0,-1.070699930E0,2.175400019E0,4.290399865E0
1.806900733E0,-2.855599880E0,-1.060500026E0,1.796599984E0,3.536507102E0
1.816900733E0,-2.418299913E0,-1.083599925E0,1.548599958E0,3.069287393E0
1.826900733E0,-2.159299850E0,-1.164600015E0,1.472899914E0,2.861521133E0
1.836905420E0,-2.225899935E0,-1.110100031E0,1.786399961E0,3.062381005E0
1.846900733E0,-2.401299953E0,-8.978999853E-1,2.199399948E0,3.377843392E0
1.856900733E0,-2.582399845E0,-7.486000061E-1,2.679199934E0,3.795695353E0
1.866900733E0,-2.688899994E0,-5.812000036E-1,2.969799995E0,4.048171023E0
1.876900733E0,-2.826200008E0,-2.822999954E-1,2.944599867E0,4.091181755E0
1.886902295E0,-3.130699873E0,-1.011999995E-1,2.605999947E0,4.074648311E0
1.896900733E0,-3.586899996E0,-2.840000018E-2,2.027099848E0,4.120168920E0
1.906900733E0,-4.167399883E0,8.859999478E-2,1.489899993E0,4.426609734E0
1.916900733E0,-4.482299805E0,3.851999938E-1,1.087999940E0,4.628513200E0
1.926900733E0,-4.223400116E0,7.419999838E-1,9.569999576E-1,4.393577294E0
1.936900733E0,-3.283699989E0,8.612999916E-1,1.219299912E0,3.607106260E0
1.946900733E0,-1.992499948E0,7.840999961E-1,1.731699944E0,2.753843412E0
1.956900733E0,-8.018999696E-1,8.062999845E-1,2.354500055E0,2.614733971E0
1.966900733E0,-8.739999682E-2,1.013499975E0,2.875699997E0,3.050323168E0
1.976900733E0,9.339999408E-2,1.229900002E0,3.145099878E0,3.378317750E0
1.986900733E0,-3.152000010E-1,1.196399927E0,3.192600012E0,3.423947818E0
1.996906983E0,-1.600299954E0,9.756000042E-1,3.025899887E0,3.559329352E0
2.006900733E0,-2.415799856E0,9.369999766E-1,2.865099907E0,3.863011180E0
2.016900733E0,-3.252499819E0,9.038999677E-1,2.689899921E0,4.316404964E0
2.026900733E0,-3.446499825E0,8.917999864E-1,2.480399847E0,4.338899821E0
2.036900733E0,-3.055899858E0,1.041199923E0,2.263099909E0,3.942618726E0
2.046900733E0,-2.074300051E0,1.096699953E0,2.217799902E0,3.228638706E0
2.056900733E0,-7.224999666E-1,1.134099960E0,2.312700033E0,2.675214078E0
2.066900733E0,4.948000014E-1,1.255299926E0,2.439199924E0,2.787526003E0
2.076900733E0,1.098399997E0,1.233500004E0,2.389799833E0,2.905021180E0
2.086900733E0,9.162999988E-1,1.070199966E0,2.068500042E0,2.502723732E0
