"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.986147930E-1,-7.111999989E-1,-5.458999872E-1,2.847100019E0,2.984927261E0
6.086147930E-1,-6.301000118E-1,-9.689999819E-1,1.454699993E0,1.857993288E0
6.186147930E-1,1.325999945E-1,-6.089999899E-2,3.874999881E-1,4.140625668E-1
6.286147930E-1,5.608999729E-1,8.425999880E-1,8.457999825E-1,1.319075862E0
6.386147930E-1,1.674000025E-1,1.006699920E0,5.730999708E-1,1.170432000E0
6.486147930E-1,7.455999851E-1,4.917999804E-1,-2.070999891E-1,9.168843788E-1
6.586147930E-1,1.819499969E0,2.290999889E-1,-3.473999798E-1,1.866481634E0
6.686147930E-1,2.924700022E0,-2.750000060E-1,-6.216999888E-1,3.002666498E0
6.786147930E-1,3.829099894E0,-7.457999587E-1,-9.095000029E-1,4.005672706E0
6.886147930E-1,4.560400009E0,-8.093000054E-1,-9.961999655E-1,4.737576291E0
6.986147930E-1,4.879600048E0,-5.066999793E-1,-1.229300022E0,5.057511250E0
7.086147930E-1,4.731899738E0,-1.519999932E-2,-1.349900007E0,4.920704848E0
7.186147930E-1,4.463299751E0,5.174999833E-1,-1.394599915E0,4.704652997E0
7.286147930E-1,3.399299860E0,9.648000002E-1,-8.113999963E-1,3.625527345E0
7.386147930E-1,2.394999981E0,1.302899957E0,1.171999946E-1,2.728975823E0
7.486147930E-1,1.673200011E0,1.509799957E0,9.281999469E-1,2.437344729E0
7.586147930E-1,9.088000059E-1,1.623799920E0,1.236999989E0,2.234460249E0
7.686147930E-1,9.109999985E-2,1.459199905E0,5.999000072E-1,1.580330216E0
7.786147930E-1,-3.104099989E0,9.193999767E-1,5.170999765E-1,3.278433383E0
7.886147930E-1,-2.942600012E0,7.096999884E-1,-4.082999825E-1,3.054386645E0
7.986147930E-1,-2.582599878E0,8.040999770E-1,-1.023100019E0,2.891908116E0
8.086147930E-1,-2.004199982E0,8.570999503E-1,-1.089699984E0,2.436982549E0
