"Time";"Trajectoire 1/0/X";"Trajectoire 1/0/Y"
"5,564";"-7,060873";"124,4822"
"5,598";"-7,054606";"124,4765"
"5,631";"-6,233314";"124,4629"
"5,664";"-6,239291";"124,4539"
"5,697";"-6,242203";"124,4416"
"5,731";"-6,243001";"124,4272"
"5,764";"-6,237787";"124,4133"
"5,797";"-5,425802";"123,5911"
"5,831";"-6,244241";"124,4146"
"5,864";"-6,24907";"123,5953"
"5,897";"-6,257573";"123,6005"
"5,931";"-7,089169";"123,6031"
"5,964";"-7,921821";"122,7922"
"5,997";"-8,747054";"122,8011"
"6,031";"-9,576298";"122,8063"
"6,064";"-10,4133";"122,8086"
"6,097";"-12,07423";"122,8266"
"6,131";"-13,72838";"123,6709"
"6,164";"-15,38406";"124,5203"
"6,197";"-17,04433";"125,3799"
"6,231";"-19,52211";"127,0547"
"6,264";"-21,1834";"127,8902"
"6,297";"-22,85083";"127,9182"
"6,331";"-24,50479";"128,7638"
"6,364";"-26,14868";"129,6036"
"6,397";"-26,96795";"130,4308"
"6,43";"-27,79418";"130,4495"
"6,464";"-27,79642";"131,2912"
"6,497";"-28,62078";"132,1354"
"6,53";"-28,62058";"132,9682"
"6,564";"-29,43957";"133,7993"
"6,597";"-29,43964";"133,813"
"6,63";"-29,43058";"134,6418"
"6,664";"-29,42604";"134,6483"
"6,697";"-28,59522";"135,4614"
"6,73";"-28,59614";"135,451"
"6,764";"-28,58875";"135,4398"
"6,797";"-27,7697";"134,616"
"6,83";"-27,76682";"134,6246"
"6,864";"-26,94238";"134,6213"
"6,897";"-26,93556";"134,6218"
"6,93";"-26,10888";"134,6163"
"6,964";"-26,10665";"134,6253"
"6,997";"-26,09428";"135,446"
"7,03";"-26,08782";"135,4517"
"7,064";"-25,25701";"136,2769"
"7,097";"-26,06754";"137,9343"
"7,13";"-26,05629";"138,7578"
"7,163";"-26,04595";"139,5852"
"7,197";"-26,03818";"140,4203"
"7,23";"-26,03054";"141,2491"
"7,263";"-26,02218";"142,0751"
"7,297";"-26,02397";"142,0889"
"7,33";"-26,02741";"142,905"
"7,363";"-26,04194";"142,9167"
"7,397";"-26,8601";"143,7369"
"7,43";"-26,86267";"143,7361"
"7,463";"-26,86991";"143,7476"
"7,497";"-27,67899";"144,5677"
"7,53";"-27,66987";"144,5581"
"7,563";"-27,66675";"144,5513"
"7,597";"-27,66582";"144,5446"
"7,63";"-27,66662";"144,5356"
"7,663";"-27,66724";"144,5212"
"7,697";"-27,67087";"144,5053"
"7,73";"-27,68578";"143,6897"
"7,763";"-27,69537";"143,7053"
"7,797";"-28,51575";"143,7289"
"7,83";"-28,50197";"144,5482"
"7,863";"-28,49718";"144,5449"
"7,896";"-28,49315";"144,5507"
"7,93";"-28,48726";"144,5582"
"7,963";"-28,47819";"144,571"
"7,996";"-28,46816";"144,5792"
"8,03";"-28,45703";"144,5883"
"8,063";"-28,44877";"144,5947"
"8,096";"-28,43963";"144,5965"
"8,13";"-28,43097";"144,598"
"8,163";"-28,42537";"144,6013"
"8,196";"-28,41819";"144,605"
"8,23";"-28,40877";"144,6096"
"8,263";"-27,58256";"144,609"
"8,296";"-27,58223";"144,6087"
"8,33";"-27,57707";"144,6011"
"8,363";"-27,57373";"143,7832"
"8,396";"-26,74357";"143,7782"
"8,43";"-26,74067";"143,7659"
"8,463";"-25,92036";"142,9323"
"8,496";"-25,91901";"142,9275"
"8,53";"-25,91749";"142,1095"
"8,563";"-25,08941";"142,1144"
"8,596";"-25,08717";"142,1252"
"8,629";"-25,07607";"142,9485"
"8,663";"-24,24614";"142,9368"
"8,696";"-23,41778";"142,9329"
"8,729";"-23,41742";"142,937"
"8,763";"-23,40488";"142,926"
"8,796";"-22,58555";"142,9072"
"8,829";"-22,5869";"142,8839"
"8,863";"-22,58325";"142,0628"
"8,896";"-21,75698";"142,0471"
"8,929";"-21,75053";"141,234"
"8,963";"-20,91476";"141,2243"
"8,996";"-20,08429";"141,2041"
"9,029";"-19,26508";"140,3825"
"9,063";"-18,44419";"140,3815"
"9,096";"-18,43496";"140,3818"
"9,129";"-17,60129";"140,3693"
"9,163";"-16,77714";"140,3479"
"9,196";"-15,96312";"139,5297"
"9,229";"-15,96304";"139,5402"
"9,263";"-15,1427";"139,5445"
"9,296";"-15,14469";"139,5553"
"9,329";"-15,13603";"139,5663"
"9,363";"-14,3096";"139,5613"
"9,396";"-14,30233";"139,5576"
"9,429";"-13,47734";"139,5373"
"9,462";"-13,47766";"138,7204"
"9,496";"-12,64802";"138,7203"
"9,529";"-11,82695";"138,711"
"9,562";"-11,8212";"138,7039"
"9,596";"-10,99081";"138,6838"
"9,629";"-10,16918";"137,8632"
"9,662";"-9,344892";"137,8595"
"9,696";"-8,525954";"137,8526"
"9,729";"-7,702963";"137,8647"
"9,762";"-6,85332";"139,5166"
"9,796";"-4,352223";"141,9872"
"9,829";"-2,663289";"144,4719"
"9,862";"0,6770467";"146,9512"
"9,896";"4,011193";"149,4236"
"9,929";"6,517099";"151,8837"
"9,962";"9,014544";"153,5235"
"9,996";"10,68932";"155,1733"
"10,029";"12,36646";"156,8266"
"10,062";"14,04569";"158,4714"
"10,096";"15,72245";"160,1088"
"10,129";"17,38916";"160,9369"
"10,162";"18,23294";"162,5914"
"10,195";"19,06762";"163,4299"
"10,229";"19,08201";"165,0842"
"10,262";"19,9137";"165,9014"
"10,295";"19,91547";"166,7249"
"10,329";"19,90804";"166,7184"
"10,362";"19,0695";"165,907"
"10,395";"18,24048";"165,9114"
"10,429";"18,22605";"165,0837"
"10,462";"17,38465";"164,2657"
"10,495";"16,54679";"163,4536"
"10,529";"15,71684";"163,4554"
"10,562";"14,88251";"162,6408"
"10,595";"14,05519";"162,6491"
"10,629";"14,04866";"162,6407"
"10,662";"13,20862";"161,8282"
"10,695";"12,38028";"161,8424"
"10,729";"12,37468";"161,8495"
"10,762";"11,54599";"161,8634"
"10,795";"11,54191";"161,8728"
"10,829";"11,54026";"162,6944"
"10,862";"10,7124";"162,7066"
"10,895";"10,71776";"163,53"
"10,928";"9,892035";"163,5404"
"10,962";"9,888875";"163,5512"
"10,995";"9,05868";"163,5642"
"11,028";"8,231531";"163,5714"
"11,062";"7,40361";"163,5674"
"11,095";"6,571128";"162,7429"
"11,128";"6,559229";"161,9207"
"11,162";"5,725906";"161,9261"
"11,195";"4,898141";"161,9291"
"11,228";"4,894609";"161,9249"
"11,262";"4,069302";"161,9341"
"11,295";"4,071987";"161,9467"
"11,328";"4,080086";"162,782"
"11,362";"4,089806";"163,6139"
"11,395";"4,923078";"164,4422"
"11,428";"4,933369";"165,2822"
"11,462";"5,775366";"166,9321"
"11,495";"6,605255";"167,7622"
"11,528";"6,620186";"169,42"
"11,562";"7,456558";"170,2525"
"11,595";"8,296682";"171,906"
"11,628";"8,304219";"172,7439"
"11,661";"9,14521";"174,3948"
"11,695";"9,152706";"175,2243"
"11,728";"5,836827";"176,0825"
"11,761";"5,842676";"176,9154"
"11,795";"5,019526";"177,7555"
"11,828";"5,855925";"178,5817"
"11,861";"5,863178";"179,4158"
"11,895";"6,693017";"181,051"
"11,928";"6,685659";"181,0663"
"11,961";"6,691995";"181,8998"
"11,995";"7,519939";"182,7148"
"12,028";"7,512633";"182,727"
"12,061";"7,513606";"183,5556"
"12,095";"7,521657";"184,3719"
"12,128";"8,34215";"184,3727"
"12,161";"8,345849";"185,187"
"12,195";"8,350506";"185,1796"
"12,228";"9,180596";"185,1757"
"12,261";"10,00209";"185,1753"
"12,295";"10,00089";"185,1794"
"12,328";"10,00536";"185,1816"
"12,361";"10,83233";"185,1798"
"12,394";"10,83309";"185,1831"
"12,428";"10,83695";"185,1872"
"12,461";"11,66052";"185,1897"
"12,494";"11,65455";"185,2009"
"12,528";"11,64858";"185,2119"
"12,561";"11,64276";"185,2232"
"12,594";"11,63664";"185,2348"
"12,628";"11,63006";"185,2455"
"12,661";"10,80313";"185,2576"
"12,694";"10,8069";"185,2628"
"12,728";"10,81025";"185,2668"
"12,761";"11,63439";"185,2678"
"12,794";"11,63206";"185,2649"
"12,828";"11,63225";"185,26"
"12,861";"12,45484";"185,2501"
"12,894";"12,45404";"185,235"
"12,928";"12,44919";"184,4199"
"12,961";"13,27891";"184,423"
"12,994";"14,10593";"184,4292"
"13,028";"14,10018";"183,6078"
"13,061";"14,92927";"183,6121"
"13,094";"15,76624";"184,4183"
"13,127";"16,59607";"184,4107"
"13,161";"17,43287";"185,2224"
"13,194";"17,44015";"186,0607"
"13,227";"18,27193";"186,0493"
"13,261";"18,28007";"186,8898"
"13,294";"19,1037";"186,8801"
"13,327";"18,27575";"186,8911"
"13,361";"17,44736";"186,9121"
"13,394";"17,44549";"187,7331"
"13,427";"15,77773";"186,9305"
"13,461";"14,9403";"186,941"
"13,494";"11,60259";"185,32"
"13,527";"9,945518";"185,3239"
"13,561";"9,109472";"184,5005"
"13,594";"8,277855";"184,5004"
"13,627";"7,445703";"184,4968"
"13,661";"6,615219";"184,4926"
"13,694";"5,787979";"184,4882"
"13,727";"5,791289";"185,3078"
"13,761";"4,955438";"184,4963"
"13,794";"4,951755";"184,505"
"13,827";"4,11785";"183,6799"
"13,86";"4,114875";"183,6725"
"13,894";"3,289568";"183,6913"
"13,927";"3,28364";"182,8677"
"13,96";"2,458989";"182,8765"
"13,994";"2,463887";"182,8772"
"14,027";"2,466464";"182,876"
"14,06";"2,467247";"182,8725"
"14,094";"2,467566";"182,868"
"14,127";"2,467018";"182,8628"
"14,16";"1,640499";"182,8662"
"14,194";"2,465813";"182,0369"
"14,227";"2,466457";"182,0446"
"14,26";"2,466381";"182,0479"
"14,294";"1,637094";"182,0572"
"14,327";"1,637484";"182,0551"
"14,36";"1,628167";"182,0439"
"14,394";"0,8004807";"182,0343"
"14,427";"0,7977289";"182,0454"
"14,46";"0,782349";"181,2223"
"14,494";"-0,04234613";"181,2384"
"14,527";"-0,04327504";"181,2459"
