"event","experiment time","system time","system time text"
"START",0.000000000E0,1738228232.490,"2025-01-30 10:10:32.490 UTC+01:00"
"PAUSE",4.363174015E2,1738228668.807,"2025-01-30 10:17:48.807 UTC+01:00"
