"Time";"Marqueur 1/0/X";"Marqueur 1/0/Y"
"7,963";"12,62341";"-60,67212"
"7,997";"12,62329";"-60,67212"
"8,03";"16,40469";"-60,67212"
"8,063";"12,62329";"-61,56281"
"8,097";"14,51401";"-59,67212"
"8,13";"14";"-59"
"8,163";"14";"-59"
"8,197";"14";"-59"
"8,23";"13";"-59"
"8,263";"13";"-60"
"8,297";"13";"-60"
"8,33";"13";"-60"
"8,363";"12";"-60"
"8,397";"12";"-60"
"8,43";"11";"-60"
"8,463";"11";"-60"
"8,496";"11";"-61"
"8,53";"11";"-61"
"8,563";"11";"-61"
"8,596";"11";"-61"
"8,63";"11";"-61"
"8,663";"11";"-62"
"8,696";"12";"-62"
"8,73";"12";"-62"
"8,763";"13";"-62"
"8,796";"14";"-63"
"8,83";"14";"-63"
"8,863";"15";"-64"
"8,896";"16";"-64"
"8,93";"17";"-65"
"8,963";"18";"-65"
"8,996";"18";"-66"
"9,03";"19";"-66"
"9,063";"20";"-67"
"9,096";"21";"-67"
"9,13";"22";"-68"
"9,163";"22";"-68"
"9,196";"23";"-69"
"9,23";"24";"-69"
"9,263";"25";"-69"
"9,296";"25";"-70"
"9,329";"26";"-70"
"9,363";"27";"-71"
"9,396";"29";"-70"
"9,429";"30";"-69"
"9,463";"32";"-65"
"9,496";"35";"-61"
"9,529";"37";"-57"
"9,563";"40";"-53"
"9,596";"42";"-50"
"9,629";"45";"-46"
"9,663";"47";"-42"
"9,696";"50";"-39"
"9,729";"52";"-36"
"9,763";"55";"-32"
"9,796";"57";"-29"
"9,829";"58";"-26"
"9,863";"59";"-23"
"9,896";"60";"-20"
"9,929";"60";"-17"
"9,963";"60";"-14"
"9,996";"60";"-12"
"10,029";"60";"-10"
"10,063";"60";"-7"
"10,096";"60";"-5"
"10,129";"60";"-4"
"10,162";"59";"-3"
"10,196";"58";"-2"
"10,229";"57";"-1"
"10,262";"56";"-1"
"10,296";"54";"-1"
"10,329";"53";"-1"
"10,362";"52";"-1"
"10,396";"51";"-1"
"10,429";"51";"-1"
"10,462";"50";"0"
"10,496";"49";"0"
"10,529";"49";"0"
"10,562";"48";"1"
"10,596";"47";"1"
"10,629";"47";"1"
"10,662";"46";"1"
"10,696";"45";"1"
"10,729";"44";"1"
"10,762";"44";"2"
"10,796";"43";"2"
"10,829";"43";"2"
"10,862";"43";"3"
"10,896";"42";"3"
"10,929";"42";"3"
"10,962";"42";"4"
"10,995";"42";"4"
"11,029";"42";"4"
"11,062";"42";"4"
"11,095";"41";"5"
"11,129";"41";"5"
"11,162";"41";"6"
"11,195";"40";"6"
"11,229";"40";"6"
"11,262";"40";"6"
"11,295";"40";"6"
"11,329";"39";"6"
"11,362";"39";"6"
"11,395";"43,07681";"5,562683"
"11,429";"43,07681";"3,672119"
"11,462";"44,9675";"3,672119"
"11,495";"43,07681";"3,672119"
"11,529";"43,9675";"5,562805"
"11,562";"42,07681";"3,672119"
"11,595";"42,07681";"6,562683"
"11,629";"43,9675";"4,672119"
"11,662";"43,9675";"4,672119"
"11,695";"38,29541";"5,562805"
"11,728";"40,1861";"3,672119"
"11,762";"37,29541";"3,672119"
"11,795";"37";"4"
"11,828";"37";"3"
"11,862";"37";"3"
"11,895";"37";"3"
"11,928";"37";"3"
"11,962";"37";"3"
"11,995";"38";"3"
"12,028";"38";"3"
"12,062";"38";"3"
"12,095";"38";"3"
"12,128";"38";"3"
"12,162";"39";"3"
"12,195";"39";"3"
"12,228";"39";"4"
"12,262";"40";"4"
"12,295";"40";"4"
"12,328";"40";"5"
"12,362";"39";"5"
"12,395";"39";"6"
"12,428";"39";"6"
"12,462";"39";"7"
"12,495";"39";"7"
"12,528";"38";"7"
"12,561";"38";"7"
"12,595";"38";"7"
"12,628";"38";"7"
"12,661";"38";"7"
"12,695";"38";"7"
"12,728";"38";"7"
"12,761";"38";"7"
"12,795";"38";"7"
"12,828";"41,1861";"4,890686"
"12,861";"41,1861";"3"
"12,895";"41,1861";"4,890686"
"12,928";"41,1861";"4,890686"
"12,961";"44,07681";"8,672119"
"12,995";"44,07681";"4,890686"
"13,028";"44,07681";"4,890686"
"13,061";"45,9675";"5,890686"
"13,095";"46,9675";"11,56293"
"13,128";"45,07681";"9,672119"
"13,161";"45,07681";"7,781372"
"13,195";"46,9675";"5,890686"
"13,228";"46";"6"
"13,261";"46";"6"
"13,295";"46";"7"
"13,328";"47";"7"
"13,361";"47";"7"
"13,394";"48";"8"
"13,428";"48";"8"
"13,461";"49";"9"
"13,494";"49";"9"
"13,528";"50";"9"
"13,561";"50";"9"
"13,594";"50";"9"
"13,628";"49";"9"
"13,661";"49";"9"
"13,694";"49";"10"
"13,728";"49";"10"
"13,761";"49";"10"
"13,794";"49";"9"
"13,828";"49";"9"
"13,861";"48";"9"
"13,894";"48";"9"
"13,928";"48";"8"
"13,961";"47";"8"
"13,994";"47";"8"
"14,028";"47";"8"
"14,061";"46";"8"
"14,094";"46";"8"
"14,128";"46";"7"
"14,161";"46";"7"
"14,194";"46";"7"
"14,227";"46";"7"
"14,261";"46";"7"
"14,294";"46";"7"
"14,327";"46";"7"
"14,361";"46";"7"
"14,394";"42";"4"
"14,427";"42";"4"
"14,461";"43";"4"
"14,494";"43";"5"
"14,527";"44";"5"
"14,561";"44";"5"
"14,594";"45";"5"
"14,627";"46";"5"
"14,661";"47";"6"
"14,694";"47";"6"
"14,727";"48";"6"
"14,761";"49";"6"
"14,794";"49";"6"
"14,827";"50";"6"
"14,861";"50";"6"
"14,894";"50";"6"
"14,927";"50";"6"
"14,96";"50";"6"
"14,994";"50";"6"
"15,027";"50";"6"
"15,06";"50";"6"
"15,094";"50";"6"
"15,127";"50";"6"
"15,16";"50";"6"
"15,194";"49";"5"
"15,227";"49";"5"
"15,26";"49";"5"
"15,294";"49";"5"
"15,327";"50";"5"
"15,36";"50";"5"
"15,394";"50";"5"
"15,427";"50";"4"
"15,46";"50";"4"
"15,494";"50";"4"
"15,527";"50";"4"
"15,56";"51";"4"
"15,594";"50";"4"
"15,627";"50";"4"
"15,66";"50";"4"
"15,694";"50";"4"
"15,727";"50";"4"
"15,76";"50";"4"
"15,793";"49";"4"
"15,827";"49";"3"
"15,86";"49";"3"
"15,893";"49";"3"
"15,927";"49";"3"
"15,96";"48";"3"
"15,993";"48";"3"
"16,027";"47";"3"
"16,06";"47";"3"
"16,093";"47";"3"
"16,127";"47";"3"
"16,16";"46";"3"
"16,193";"46";"3"
"16,227";"46";"3"
"16,26";"46";"3"
"16,293";"46";"3"
"16,327";"46";"3"
"16,36";"46";"3"
"16,393";"46";"3"
"16,427";"46";"3"
"16,46";"46";"3"
"16,493";"46";"3"
"16,527";"46";"3"
"16,56";"46";"3"
"16,593";"46";"4"
"16,626";"46";"4"
"16,66";"46";"4"
"16,693";"46";"4"
"16,726";"46";"4"
"16,76";"46";"5"
"16,793";"47";"5"
"16,826";"47";"5"
"16,86";"46";"5"
"16,893";"46";"4"
"16,926";"46";"4"
"16,96";"46";"4"
"16,993";"46";"4"
"17,026";"45";"4"
"17,06";"45";"4"
"17,093";"44";"4"
"17,126";"44";"4"
"17,16";"44";"3"
"17,193";"43";"3"
"17,226";"43";"3"
"17,26";"43";"2"
"17,293";"43";"2"
"17,326";"43";"3"
"17,36";"43";"4"
"17,393";"42";"7"
"17,426";"41";"10"
"17,459";"40";"14"
"17,493";"38";"18"
"17,526";"37";"21"
"17,559";"36";"25"
"17,593";"34";"28"
"17,626";"33";"31"
"17,659";"32";"33"
"17,693";"31";"35"
"17,726";"30";"37"
"17,759";"28";"38"
"17,793";"27";"40"
"17,826";"25";"41"
"17,859";"23";"42"
"17,893";"21";"43"
"17,926";"19";"44"
"17,959";"18";"45"
"17,993";"16";"46"
"18,026";"14";"46"
"18,059";"13";"47"
"18,093";"12";"48"
"18,126";"10";"48"
"18,159";"10";"48"
"18,192";"9";"48"
"18,226";"8";"48"
"18,259";"8";"48"
"18,292";"8";"48"
"18,326";"8";"48"
"18,359";"7";"48"
"18,392";"7";"48"
"18,426";"6";"48"
"18,459";"5";"48"
"18,492";"4";"49"
"18,526";"3";"50"
"18,559";"1";"51"
"18,592";"0";"52"
"18,626";"-2";"53"
"18,659";"-3";"55"
"18,692";"-5";"56"
"18,726";"-6";"57"
"18,759";"-6";"57"
"18,792";"-9,595306";"62,32788"
"18,826";"-7,70459";"63,32788"
"18,859";"-9,595306";"63,32788"
"18,892";"-5,813904";"64,32788"
"18,926";"-6,70459";"67,21863"
"18,959";"-4,813904";"63,43719"
"18,992";"-3,813904";"65,32788"
"19,025";"-2,813904";"65,32788"
"19,059";"-0,8139038";"64,32788"
"19,092";"-1,70459";"62,43719"
"19,125";"-4,485901";"62,43732"
"19,159";"2,186096";"68,10931"
"19,192";"-1,595306";"66,21863"
"19,225";"-0,5953064";"64,32788"
"19,259";"-1";"65"
"19,292";"-1";"66"
"19,325";"-1";"66"
"19,359";"-1";"67"
"19,392";"-1";"67"
"19,425";"-1";"68"
"19,459";"-2";"68"
"19,492";"-2";"69"
"19,525";"-2";"69"
"19,559";"-3";"70"
"19,592";"-3";"71"
"19,625";"-3";"72"
"19,659";"-4";"72"
