"event","experiment time","system time","system time text"
"START",0.000000000E0,1738227042.588,"2025-01-30 09:50:42.588 UTC+01:00"
"PAUSE",3.923379119E2,1738227434.926,"2025-01-30 09:57:14.926 UTC+01:00"
